Orig;dest;flow
  Itaunas; Prado;0
  Jerônimo Monteiro; Prado;0
  Joao Neiva; Prado;0
  Laranja da Terra; Prado;0
  Linhares; Prado;0
  Marataizes; Prado;0
  Montanha; Prado;0
  Muniz Freire; Prado;0
  Nova Venécia; Prado;0
  Pancas; Prado;0
  Pinheiros; Prado;0
  Presidente Kennedy; Prado;0
  Santa Leopoldina; Prado;0
  Santa Teresa; Prado;0
  Sao Gabriel da Palha; Prado;0
  Sao Mateus; Prado;0
  Vila Pavao; Prado;0
RMGV - Cariacica; Prado;0
RMGV - Fundao; Prado;0
RMGV - Serra; Prado;0
RMGV - Viana; Prado;0
RMGV - Vila Velha; Prado;0
RMGV - Vitoria; Prado;0
RMGV; Salvador;0
desconhecido - BA; Salvador;0
desconhecido - CE; Salvador;0
desconhecido - MA; Salvador;0
desconhecido - MG; Salvador;0
desconhecido - PE; Salvador;0
desconhecido - PI; Salvador;0
desconhecido - PR; Salvador;0
  Santa Luzia do norte; Salvador;0
 Almadino; Salvador;0
 Aurelino Leal; Salvador;0
 Camacan; Salvador;0
 Canavieiras; Salvador;0
 Caravelas; Salvador;0
 Carlos Chagas; Salvador;0
 Eunapolis; Salvador;0
 Guaratinga; Salvador;0
 Ibicarai; Salvador;0
 Ilheus; Salvador;0
 Itabuna; Salvador;0
 Itajuipe; Salvador;0
 Itamaraju; Salvador;0
 Itanhem; Salvador;0
 Itapemirim; Salvador;0
 Itubera; Salvador;0
 Medeiros Neto; Salvador;0
 Mucuri; Salvador;0
 Nova Itarana; Salvador;0
 Nova Viçosa; Salvador;0
 Oruçu; Salvador;0
 Paulo Afonso; Salvador;0
 Porto Seguro; Salvador;0
 Potiragua; Salvador;0
 Prado; Salvador;0
 Salvador; Salvador;0
 Teixeira de Freitas; Salvador;0
 Una; Salvador;0
 Uruçuba; Salvador;0
 Valencia; Salvador;0
 Vitoria da Conquista; Salvador;0
 Acopiara; Salvador;0
 Goiania; Salvador;0
 Araujos; Salvador;0
 Imperatriz; Salvador;0
 Sao Luis; Salvador;0
   Aimorés; Salvador;0
   Belo Horizonte; Salvador;0
   Bertopolis; Salvador;0
   Cachoeira da Prata; Salvador;0
   Caete; Salvador;0
   Carangola; Salvador;0
   Caratinga; Salvador;0
   Conceiçao Capim; Salvador;0
   Conselheiro Pena; Salvador;0
   Governador Valadares; Salvador;0
   Iapu; Salvador;0
   Ipatinga; Salvador;0
   Itabira; Salvador;0
   Itabirim de Mantena; Salvador;0
   Itanhomi; Salvador;0
   Itauna; Salvador;0
   Januaria; Salvador;0
   Joao Monlevade; Salvador;0
   Juaima; Salvador;0
   Ladainha; Salvador;0
   Lajinhas; Salvador;0
   Mantena; Salvador;0
   Mantenopolis; Salvador;0
   Matipo; Salvador;0
   Miradouro; Salvador;0
   Mirai; Salvador;0
   Mutum; Salvador;0
   Nanuque; Salvador;0
   Nova Era; Salvador;0
   Nova Lima; Salvador;0
   Ouro Branco; Salvador;0
   Pocrane; Salvador;0
   Resplendor; Salvador;0
   Rio Casca; Salvador;0
   Salto da Divisa; Salvador;0
   Santa Luzia; Salvador;0
   Santo Antonio de Pádua; Salvador;0
   Sao Manoel de Mutu; Salvador;0
   Teofilo Otoni; Salvador;0
   Timoteo; Salvador;0
   Ubaitaba; Salvador;0
   Valadares; Salvador;0
   Varginha; Salvador;0
  Paraiba; Salvador;0
  Jatoba; Salvador;0
  Recife; Salvador;0
  Parnaíba; Salvador;0
  Campos Dos Goytacazes; Salvador;0
  Casemiro De Abreu; Salvador;0
  Mage; Salvador;0
  Miguel Pereira; Salvador;0
  Nova Iguaçu; Salvador;0
  Parati; Salvador;0
  Penha; Salvador;0
  Rio de Janeiro; Salvador;0
  Volta Redonda; Salvador;0
  Natal; Salvador;0
  Cachoeiro do Sul; Salvador;0
  Guaibes; Salvador;0
  Santa Barbara do Oeste; Salvador;0
  Santo Andre; Salvador;0
  Sao Paulo; Salvador;0
 Cajueiro; Salvador;0
 Itapebi; Salvador;0
  Afonso Claudio; Salvador;0
  Aguia Branca; Salvador;0
  Apiaca; Salvador;0
  Aracruz; Salvador;0
  Baixo Guandu; Salvador;0
  Barra de São Francisco; Salvador;0
  Cachoeiro de Itapemirim; Salvador;0
  Castelo; Salvador;0
  Colatina; Salvador;0
  Conceicao da Barra; Salvador;0
  Conselheiro Pena; Salvador;0
  Domingos Martins; Salvador;0
  Ecoporanga; Salvador;0
  Governador Lindemberg; Salvador;0
  Ibatiba; Salvador;0
  Ibiraçu; Salvador;0
  Itaguacu; Salvador;0
  Itaunas; Salvador;0
  Jerônimo Monteiro; Salvador;0
  Joao Neiva; Salvador;0
  Laranja da Terra; Salvador;0
  Linhares; Salvador;0
  Marataizes; Salvador;0
  Montanha; Salvador;0
  Muniz Freire; Salvador;0
  Nova Venécia; Salvador;0
  Pancas; Salvador;0
  Pinheiros; Salvador;0
  Presidente Kennedy; Salvador;0
  Santa Leopoldina; Salvador;0
  Santa Teresa; Salvador;0
  Sao Gabriel da Palha; Salvador;0
  Sao Mateus; Salvador;0
  Vila Pavao; Salvador;0
RMGV - Cariacica; Salvador;0
RMGV - Fundao; Salvador;0
RMGV - Serra; Salvador;0
RMGV - Viana; Salvador;0
RMGV - Vila Velha; Salvador;0
RMGV - Vitoria; Salvador;0
RMGV; Teixeira de Freitas;0
desconhecido - BA; Teixeira de Freitas;0
desconhecido - CE; Teixeira de Freitas;0
desconhecido - MA; Teixeira de Freitas;0
desconhecido - MG; Teixeira de Freitas;0
desconhecido - PE; Teixeira de Freitas;0
desconhecido - PI; Teixeira de Freitas;0
desconhecido - PR; Teixeira de Freitas;0
  Santa Luzia do norte; Teixeira de Freitas;0
 Almadino; Teixeira de Freitas;0
 Aurelino Leal; Teixeira de Freitas;0
 Camacan; Teixeira de Freitas;0
 Canavieiras; Teixeira de Freitas;0
 Caravelas; Teixeira de Freitas;0
 Carlos Chagas; Teixeira de Freitas;0
 Eunapolis; Teixeira de Freitas;0
 Guaratinga; Teixeira de Freitas;0
 Ibicarai; Teixeira de Freitas;0
 Ilheus; Teixeira de Freitas;0
 Itabuna; Teixeira de Freitas;0
 Itajuipe; Teixeira de Freitas;0
 Itamaraju; Teixeira de Freitas;0
 Itanhem; Teixeira de Freitas;0
 Itapemirim; Teixeira de Freitas;0
 Itubera; Teixeira de Freitas;0
 Medeiros Neto; Teixeira de Freitas;0
 Mucuri; Teixeira de Freitas;0
 Nova Itarana; Teixeira de Freitas;0
 Nova Viçosa; Teixeira de Freitas;0
 Oruçu; Teixeira de Freitas;0
 Paulo Afonso; Teixeira de Freitas;0
 Porto Seguro; Teixeira de Freitas;0
 Potiragua; Teixeira de Freitas;0
 Prado; Teixeira de Freitas;0
 Salvador; Teixeira de Freitas;0
 Teixeira de Freitas; Teixeira de Freitas;0
 Una; Teixeira de Freitas;0
 Uruçuba; Teixeira de Freitas;0
 Valencia; Teixeira de Freitas;0
 Vitoria da Conquista; Teixeira de Freitas;0
 Acopiara; Teixeira de Freitas;0
 Goiania; Teixeira de Freitas;0
 Araujos; Teixeira de Freitas;0
 Imperatriz; Teixeira de Freitas;0
 Sao Luis; Teixeira de Freitas;0
   Aimorés; Teixeira de Freitas;0
   Belo Horizonte; Teixeira de Freitas;0
   Bertopolis; Teixeira de Freitas;0
   Cachoeira da Prata; Teixeira de Freitas;0
   Caete; Teixeira de Freitas;0
   Carangola; Teixeira de Freitas;0
   Caratinga; Teixeira de Freitas;0
   Conceiçao Capim; Teixeira de Freitas;0
   Conselheiro Pena; Teixeira de Freitas;0
   Governador Valadares; Teixeira de Freitas;0
   Iapu; Teixeira de Freitas;0
   Ipatinga; Teixeira de Freitas;0
   Itabira; Teixeira de Freitas;0
   Itabirim de Mantena; Teixeira de Freitas;0
   Itanhomi; Teixeira de Freitas;0
   Itauna; Teixeira de Freitas;0
   Januaria; Teixeira de Freitas;0
   Joao Monlevade; Teixeira de Freitas;0
   Juaima; Teixeira de Freitas;0
   Ladainha; Teixeira de Freitas;0
   Lajinhas; Teixeira de Freitas;0
   Mantena; Teixeira de Freitas;0
   Mantenopolis; Teixeira de Freitas;0
   Matipo; Teixeira de Freitas;0
   Miradouro; Teixeira de Freitas;0
   Mirai; Teixeira de Freitas;0
   Mutum; Teixeira de Freitas;0
   Nanuque; Teixeira de Freitas;0
   Nova Era; Teixeira de Freitas;0
   Nova Lima; Teixeira de Freitas;0
   Ouro Branco; Teixeira de Freitas;0
   Pocrane; Teixeira de Freitas;0
   Resplendor; Teixeira de Freitas;0
   Rio Casca; Teixeira de Freitas;0
   Salto da Divisa; Teixeira de Freitas;0
   Santa Luzia; Teixeira de Freitas;0
   Santo Antonio de Pádua; Teixeira de Freitas;0
   Sao Manoel de Mutu; Teixeira de Freitas;0
   Teofilo Otoni; Teixeira de Freitas;0
   Timoteo; Teixeira de Freitas;0
   Ubaitaba; Teixeira de Freitas;0
   Valadares; Teixeira de Freitas;0
   Varginha; Teixeira de Freitas;0
  Paraiba; Teixeira de Freitas;0
  Jatoba; Teixeira de Freitas;0
  Recife; Teixeira de Freitas;0
  Parnaíba; Teixeira de Freitas;0
  Campos Dos Goytacazes; Teixeira de Freitas;0
  Casemiro De Abreu; Teixeira de Freitas;0
  Mage; Teixeira de Freitas;0
  Miguel Pereira; Teixeira de Freitas;0
  Nova Iguaçu; Teixeira de Freitas;0
  Parati; Teixeira de Freitas;0
  Penha; Teixeira de Freitas;0
  Rio de Janeiro; Teixeira de Freitas;0
  Volta Redonda; Teixeira de Freitas;0
  Natal; Teixeira de Freitas;0
  Cachoeiro do Sul; Teixeira de Freitas;0
  Guaibes; Teixeira de Freitas;0
  Santa Barbara do Oeste; Teixeira de Freitas;0
  Santo Andre; Teixeira de Freitas;0
  Sao Paulo; Teixeira de Freitas;0
 Cajueiro; Teixeira de Freitas;0
 Itapebi; Teixeira de Freitas;0
  Afonso Claudio; Teixeira de Freitas;0
  Aguia Branca; Teixeira de Freitas;0
  Apiaca; Teixeira de Freitas;0
  Aracruz; Teixeira de Freitas;0
  Baixo Guandu; Teixeira de Freitas;0
  Barra de São Francisco; Teixeira de Freitas;0
  Cachoeiro de Itapemirim; Teixeira de Freitas;0
  Castelo; Teixeira de Freitas;0
  Colatina; Teixeira de Freitas;0
  Conceicao da Barra; Teixeira de Freitas;0
  Conselheiro Pena; Teixeira de Freitas;0
  Domingos Martins; Teixeira de Freitas;0
  Ecoporanga; Teixeira de Freitas;0
  Governador Lindemberg; Teixeira de Freitas;0
  Ibatiba; Teixeira de Freitas;0
  Ibiraçu; Teixeira de Freitas;0
  Itaguacu; Teixeira de Freitas;0
  Itaunas; Teixeira de Freitas;0
  Jerônimo Monteiro; Teixeira de Freitas;0
  Joao Neiva; Teixeira de Freitas;0
  Laranja da Terra; Teixeira de Freitas;0
  Linhares; Teixeira de Freitas;0
  Marataizes; Teixeira de Freitas;0
  Montanha; Teixeira de Freitas;0
  Muniz Freire; Teixeira de Freitas;0
  Nova Venécia; Teixeira de Freitas;0
  Pancas; Teixeira de Freitas;0
  Pinheiros; Teixeira de Freitas;0
  Presidente Kennedy; Teixeira de Freitas;0
  Santa Leopoldina; Teixeira de Freitas;0
  Santa Teresa; Teixeira de Freitas;0
  Sao Gabriel da Palha; Teixeira de Freitas;0
  Sao Mateus; Teixeira de Freitas;0
  Vila Pavao; Teixeira de Freitas;0
RMGV - Cariacica; Teixeira de Freitas;0
RMGV - Fundao; Teixeira de Freitas;0
RMGV - Serra; Teixeira de Freitas;0
RMGV - Viana; Teixeira de Freitas;0
RMGV - Vila Velha; Teixeira de Freitas;0
RMGV - Vitoria; Teixeira de Freitas;0
RMGV; Una;0
desconhecido - BA; Una;0
desconhecido - CE; Una;0
desconhecido - MA; Una;0
desconhecido - MG; Una;0
desconhecido - PE; Una;0
desconhecido - PI; Una;0
desconhecido - PR; Una;0
  Santa Luzia do norte; Una;0
 Almadino; Una;0
 Aurelino Leal; Una;0
 Camacan; Una;0
 Canavieiras; Una;0
 Caravelas; Una;0
 Carlos Chagas; Una;0
 Eunapolis; Una;0
 Guaratinga; Una;0
 Ibicarai; Una;0
 Ilheus; Una;0
 Itabuna; Una;0
 Itajuipe; Una;0
 Itamaraju; Una;0
 Itanhem; Una;0
 Itapemirim; Una;0
 Itubera; Una;0
 Medeiros Neto; Una;0
 Mucuri; Una;0
 Nova Itarana; Una;0
 Nova Viçosa; Una;0
 Oruçu; Una;0
 Paulo Afonso; Una;0
 Porto Seguro; Una;0
 Potiragua; Una;0
 Prado; Una;0
 Salvador; Una;0
 Teixeira de Freitas; Una;0
 Una; Una;0
 Uruçuba; Una;0
 Valencia; Una;0
 Vitoria da Conquista; Una;0
 Acopiara; Una;0
 Goiania; Una;0
 Araujos; Una;0
 Imperatriz; Una;0
 Sao Luis; Una;0
   Aimorés; Una;0
   Belo Horizonte; Una;0
   Bertopolis; Una;0
   Cachoeira da Prata; Una;0
   Caete; Una;0
   Carangola; Una;0
   Caratinga; Una;0
   Conceiçao Capim; Una;0
   Conselheiro Pena; Una;0
   Governador Valadares; Una;0
   Iapu; Una;0
   Ipatinga; Una;0
   Itabira; Una;0
   Itabirim de Mantena; Una;0
   Itanhomi; Una;0
   Itauna; Una;0
   Januaria; Una;0
   Joao Monlevade; Una;0
   Juaima; Una;0
   Ladainha; Una;0
   Lajinhas; Una;0
   Mantena; Una;0
   Mantenopolis; Una;0
   Matipo; Una;0
   Miradouro; Una;0
   Mirai; Una;0
   Mutum; Una;0
   Nanuque; Una;0
   Nova Era; Una;0
   Nova Lima; Una;0
   Ouro Branco; Una;0
   Pocrane; Una;0
   Resplendor; Una;0
   Rio Casca; Una;0
   Salto da Divisa; Una;0
   Santa Luzia; Una;0
   Santo Antonio de Pádua; Una;0
   Sao Manoel de Mutu; Una;0
   Teofilo Otoni; Una;0
   Timoteo; Una;0
   Ubaitaba; Una;0
   Valadares; Una;0
   Varginha; Una;0
  Paraiba; Una;0
  Jatoba; Una;0
  Recife; Una;0
  Parnaíba; Una;0
  Campos Dos Goytacazes; Una;0
  Casemiro De Abreu; Una;0
  Mage; Una;0
  Miguel Pereira; Una;0
  Nova Iguaçu; Una;0
  Parati; Una;0
  Penha; Una;0
  Rio de Janeiro; Una;0
  Volta Redonda; Una;0
  Natal; Una;0
  Cachoeiro do Sul; Una;0
  Guaibes; Una;0
  Santa Barbara do Oeste; Una;0
  Santo Andre; Una;0
  Sao Paulo; Una;0
 Cajueiro; Una;0
 Itapebi; Una;0
  Afonso Claudio; Una;0
  Aguia Branca; Una;0
  Apiaca; Una;0
  Aracruz; Una;0
  Baixo Guandu; Una;0
  Barra de São Francisco; Una;0
  Cachoeiro de Itapemirim; Una;0
  Castelo; Una;0
  Colatina; Una;0
  Conceicao da Barra; Una;0
  Conselheiro Pena; Una;0
  Domingos Martins; Una;0
  Ecoporanga; Una;0
  Governador Lindemberg; Una;0
  Ibatiba; Una;0
  Ibiraçu; Una;0
  Itaguacu; Una;0
  Itaunas; Una;0
  Jerônimo Monteiro; Una;0
  Joao Neiva; Una;0
  Laranja da Terra; Una;0
  Linhares; Una;0
  Marataizes; Una;0
  Montanha; Una;0
  Muniz Freire; Una;0
  Nova Venécia; Una;0
  Pancas; Una;0
  Pinheiros; Una;0
  Presidente Kennedy; Una;0
  Santa Leopoldina; Una;0
  Santa Teresa; Una;0
  Sao Gabriel da Palha; Una;0
  Sao Mateus; Una;0
  Vila Pavao; Una;0
RMGV - Cariacica; Una;0
RMGV - Fundao; Una;0
RMGV - Serra; Una;0
RMGV - Viana; Una;0
RMGV - Vila Velha; Una;0
RMGV - Vitoria; Una;0
RMGV; Urucuba;0
desconhecido - BA; Urucuba;0
desconhecido - CE; Urucuba;0
desconhecido - MA; Urucuba;0
desconhecido - MG; Urucuba;0
desconhecido - PE; Urucuba;0
desconhecido - PI; Urucuba;0
desconhecido - PR; Urucuba;0
  Santa Luzia do norte; Urucuba;0
 Almadino; Urucuba;0
 Aurelino Leal; Urucuba;0
 Camacan; Urucuba;0
 Canavieiras; Urucuba;0
 Caravelas; Urucuba;0
 Carlos Chagas; Urucuba;0
 Eunapolis; Urucuba;0
 Guaratinga; Urucuba;0
 Ibicarai; Urucuba;0
 Ilheus; Urucuba;0
 Itabuna; Urucuba;0
 Itajuipe; Urucuba;0
 Itamaraju; Urucuba;0
 Itanhem; Urucuba;0
 Itapemirim; Urucuba;0
 Itubera; Urucuba;0
 Medeiros Neto; Urucuba;0
 Mucuri; Urucuba;0
 Nova Itarana; Urucuba;0
 Nova Viçosa; Urucuba;0
 Oruçu; Urucuba;0
 Paulo Afonso; Urucuba;0
 Porto Seguro; Urucuba;0
 Potiragua; Urucuba;0
 Prado; Urucuba;0
 Salvador; Urucuba;0
 Teixeira de Freitas; Urucuba;0
 Una; Urucuba;0
 Uruçuba; Urucuba;0
 Valencia; Urucuba;0
 Vitoria da Conquista; Urucuba;0
 Acopiara; Urucuba;0
 Goiania; Urucuba;0
 Araujos; Urucuba;0
 Imperatriz; Urucuba;0
 Sao Luis; Urucuba;0
   Aimorés; Urucuba;0
   Belo Horizonte; Urucuba;0
   Bertopolis; Urucuba;0
   Cachoeira da Prata; Urucuba;0
   Caete; Urucuba;0
   Carangola; Urucuba;0
   Caratinga; Urucuba;0
   Conceiçao Capim; Urucuba;0
   Conselheiro Pena; Urucuba;0
   Governador Valadares; Urucuba;0
   Iapu; Urucuba;0
   Ipatinga; Urucuba;0
   Itabira; Urucuba;0
   Itabirim de Mantena; Urucuba;0
   Itanhomi; Urucuba;0
   Itauna; Urucuba;0
   Januaria; Urucuba;0
   Joao Monlevade; Urucuba;0
   Juaima; Urucuba;0
   Ladainha; Urucuba;0
   Lajinhas; Urucuba;0
   Mantena; Urucuba;0
   Mantenopolis; Urucuba;0
   Matipo; Urucuba;0
   Miradouro; Urucuba;0
   Mirai; Urucuba;0
   Mutum; Urucuba;0
   Nanuque; Urucuba;0
   Nova Era; Urucuba;0
   Nova Lima; Urucuba;0
   Ouro Branco; Urucuba;0
   Pocrane; Urucuba;0
   Resplendor; Urucuba;0
   Rio Casca; Urucuba;0
   Salto da Divisa; Urucuba;0
   Santa Luzia; Urucuba;0
   Santo Antonio de Pádua; Urucuba;0
   Sao Manoel de Mutu; Urucuba;0
   Teofilo Otoni; Urucuba;0
   Timoteo; Urucuba;0
   Ubaitaba; Urucuba;0
   Valadares; Urucuba;0
   Varginha; Urucuba;0
  Paraiba; Urucuba;0
  Jatoba; Urucuba;0
  Recife; Urucuba;0
  Parnaíba; Urucuba;0
  Campos Dos Goytacazes; Urucuba;0
  Casemiro De Abreu; Urucuba;0
  Mage; Urucuba;0
  Miguel Pereira; Urucuba;0
  Nova Iguaçu; Urucuba;0
  Parati; Urucuba;0
  Penha; Urucuba;0
  Rio de Janeiro; Urucuba;0
  Volta Redonda; Urucuba;0
  Natal; Urucuba;0
  Cachoeiro do Sul; Urucuba;0
  Guaibes; Urucuba;0
  Santa Barbara do Oeste; Urucuba;0
  Santo Andre; Urucuba;0
  Sao Paulo; Urucuba;0
 Cajueiro; Urucuba;0
 Itapebi; Urucuba;0
  Afonso Claudio; Urucuba;0
  Aguia Branca; Urucuba;0
  Apiaca; Urucuba;0
  Aracruz; Urucuba;0
  Baixo Guandu; Urucuba;0
  Barra de São Francisco; Urucuba;0
  Cachoeiro de Itapemirim; Urucuba;0
  Castelo; Urucuba;0
  Colatina; Urucuba;0
  Conceicao da Barra; Urucuba;0
  Conselheiro Pena; Urucuba;0
  Domingos Martins; Urucuba;0
  Ecoporanga; Urucuba;0
  Governador Lindemberg; Urucuba;0
  Ibatiba; Urucuba;0
  Ibiraçu; Urucuba;0
  Itaguacu; Urucuba;0
  Itaunas; Urucuba;0
  Jerônimo Monteiro; Urucuba;0
  Joao Neiva; Urucuba;0
  Laranja da Terra; Urucuba;0
  Linhares; Urucuba;0
  Marataizes; Urucuba;0
  Montanha; Urucuba;0
  Muniz Freire; Urucuba;0
  Nova Venécia; Urucuba;0
  Pancas; Urucuba;0
  Pinheiros; Urucuba;0
  Presidente Kennedy; Urucuba;0
  Santa Leopoldina; Urucuba;0
  Santa Teresa; Urucuba;0
  Sao Gabriel da Palha; Urucuba;0
  Sao Mateus; Urucuba;0
  Vila Pavao; Urucuba;0
RMGV - Cariacica; Urucuba;0
RMGV - Fundao; Urucuba;0
RMGV - Serra; Urucuba;0
RMGV - Viana; Urucuba;0
RMGV - Vila Velha; Urucuba;0
RMGV - Vitoria; Urucuba;0
RMGV; Valencia;0
desconhecido - BA; Valencia;0
desconhecido - CE; Valencia;0
desconhecido - MA; Valencia;0
desconhecido - MG; Valencia;0
desconhecido - PE; Valencia;0
desconhecido - PI; Valencia;0
desconhecido - PR; Valencia;0
  Santa Luzia do norte; Valencia;0
 Almadino; Valencia;0
 Aurelino Leal; Valencia;0
 Camacan; Valencia;0
 Canavieiras; Valencia;0
 Caravelas; Valencia;0
 Carlos Chagas; Valencia;0
 Eunapolis; Valencia;0
 Guaratinga; Valencia;0
 Ibicarai; Valencia;0
 Ilheus; Valencia;0
 Itabuna; Valencia;0
 Itajuipe; Valencia;0
 Itamaraju; Valencia;0
 Itanhem; Valencia;0
 Itapemirim; Valencia;0
 Itubera; Valencia;0
 Medeiros Neto; Valencia;0
 Mucuri; Valencia;0
 Nova Itarana; Valencia;0
 Nova Viçosa; Valencia;0
 Oruçu; Valencia;0
 Paulo Afonso; Valencia;0
 Porto Seguro; Valencia;0
 Potiragua; Valencia;0
 Prado; Valencia;0
 Salvador; Valencia;0
 Teixeira de Freitas; Valencia;0
 Una; Valencia;0
 Uruçuba; Valencia;0
 Valencia; Valencia;0
 Vitoria da Conquista; Valencia;0
 Acopiara; Valencia;0
 Goiania; Valencia;0
 Araujos; Valencia;0
 Imperatriz; Valencia;0
 Sao Luis; Valencia;0
   Aimorés; Valencia;0
   Belo Horizonte; Valencia;0
   Bertopolis; Valencia;0
   Cachoeira da Prata; Valencia;0
   Caete; Valencia;0
   Carangola; Valencia;0
   Caratinga; Valencia;0
   Conceiçao Capim; Valencia;0
   Conselheiro Pena; Valencia;0
   Governador Valadares; Valencia;0
   Iapu; Valencia;0
   Ipatinga; Valencia;0
   Itabira; Valencia;0
   Itabirim de Mantena; Valencia;0
   Itanhomi; Valencia;0
   Itauna; Valencia;0
   Januaria; Valencia;0
   Joao Monlevade; Valencia;0
   Juaima; Valencia;0
   Ladainha; Valencia;0
   Lajinhas; Valencia;0
   Mantena; Valencia;0
   Mantenopolis; Valencia;0
   Matipo; Valencia;0
   Miradouro; Valencia;0
   Mirai; Valencia;0
   Mutum; Valencia;0
   Nanuque; Valencia;0
   Nova Era; Valencia;0
   Nova Lima; Valencia;0
   Ouro Branco; Valencia;0
   Pocrane; Valencia;0
   Resplendor; Valencia;0
   Rio Casca; Valencia;0
   Salto da Divisa; Valencia;0
   Santa Luzia; Valencia;0
   Santo Antonio de Pádua; Valencia;0
   Sao Manoel de Mutu; Valencia;0
   Teofilo Otoni; Valencia;0
   Timoteo; Valencia;0
   Ubaitaba; Valencia;0
   Valadares; Valencia;0
   Varginha; Valencia;0
  Paraiba; Valencia;0
  Jatoba; Valencia;0
  Recife; Valencia;0
  Parnaíba; Valencia;0
  Campos Dos Goytacazes; Valencia;0
  Casemiro De Abreu; Valencia;0
  Mage; Valencia;0
  Miguel Pereira; Valencia;0
  Nova Iguaçu; Valencia;0
  Parati; Valencia;0
  Penha; Valencia;0
  Rio de Janeiro; Valencia;0
  Volta Redonda; Valencia;0
  Natal; Valencia;0
  Cachoeiro do Sul; Valencia;0
  Guaibes; Valencia;0
  Santa Barbara do Oeste; Valencia;0
  Santo Andre; Valencia;0
  Sao Paulo; Valencia;0
 Cajueiro; Valencia;0
 Itapebi; Valencia;0
  Afonso Claudio; Valencia;0
  Aguia Branca; Valencia;0
  Apiaca; Valencia;0
  Aracruz; Valencia;0
  Baixo Guandu; Valencia;0
  Barra de São Francisco; Valencia;0
  Cachoeiro de Itapemirim; Valencia;0
  Castelo; Valencia;0
  Colatina; Valencia;0
  Conceicao da Barra; Valencia;0
  Conselheiro Pena; Valencia;0
  Domingos Martins; Valencia;0
  Ecoporanga; Valencia;0
  Governador Lindemberg; Valencia;0
  Ibatiba; Valencia;0
  Ibiraçu; Valencia;0
  Itaguacu; Valencia;0
  Itaunas; Valencia;0
  Jerônimo Monteiro; Valencia;0
  Joao Neiva; Valencia;0
  Laranja da Terra; Valencia;0
  Linhares; Valencia;0
  Marataizes; Valencia;0
  Montanha; Valencia;0
  Muniz Freire; Valencia;0
  Nova Venécia; Valencia;0
  Pancas; Valencia;0
  Pinheiros; Valencia;0
  Presidente Kennedy; Valencia;0
  Santa Leopoldina; Valencia;0
  Santa Teresa; Valencia;0
  Sao Gabriel da Palha; Valencia;0
  Sao Mateus; Valencia;0
  Vila Pavao; Valencia;0
RMGV - Cariacica; Valencia;0
RMGV - Fundao; Valencia;0
RMGV - Serra; Valencia;0
RMGV - Viana; Valencia;0
RMGV - Vila Velha; Valencia;0
RMGV - Vitoria; Valencia;0
RMGV; Vitoria da Conquista;0
desconhecido - BA; Vitoria da Conquista;0
desconhecido - CE; Vitoria da Conquista;0
desconhecido - MA; Vitoria da Conquista;0
desconhecido - MG; Vitoria da Conquista;0
desconhecido - PE; Vitoria da Conquista;0
desconhecido - PI; Vitoria da Conquista;0
desconhecido - PR; Vitoria da Conquista;0
  Santa Luzia do norte; Vitoria da Conquista;0
 Almadino; Vitoria da Conquista;0
 Aurelino Leal; Vitoria da Conquista;0
 Camacan; Vitoria da Conquista;0
 Canavieiras; Vitoria da Conquista;0
 Caravelas; Vitoria da Conquista;0
 Carlos Chagas; Vitoria da Conquista;0
 Eunapolis; Vitoria da Conquista;0
 Guaratinga; Vitoria da Conquista;0
 Ibicarai; Vitoria da Conquista;0
 Ilheus; Vitoria da Conquista;0
 Itabuna; Vitoria da Conquista;0
 Itajuipe; Vitoria da Conquista;0
 Itamaraju; Vitoria da Conquista;0
 Itanhem; Vitoria da Conquista;0
 Itapemirim; Vitoria da Conquista;0
 Itubera; Vitoria da Conquista;0
 Medeiros Neto; Vitoria da Conquista;0
 Mucuri; Vitoria da Conquista;0
 Nova Itarana; Vitoria da Conquista;0
 Nova Viçosa; Vitoria da Conquista;0
 Oruçu; Vitoria da Conquista;0
 Paulo Afonso; Vitoria da Conquista;0
 Porto Seguro; Vitoria da Conquista;0
 Potiragua; Vitoria da Conquista;0
 Prado; Vitoria da Conquista;0
 Salvador; Vitoria da Conquista;0
 Teixeira de Freitas; Vitoria da Conquista;0
 Una; Vitoria da Conquista;0
 Uruçuba; Vitoria da Conquista;0
 Valencia; Vitoria da Conquista;0
 Vitoria da Conquista; Vitoria da Conquista;0
 Acopiara; Vitoria da Conquista;0
 Goiania; Vitoria da Conquista;0
 Araujos; Vitoria da Conquista;0
 Imperatriz; Vitoria da Conquista;0
 Sao Luis; Vitoria da Conquista;0
   Aimorés; Vitoria da Conquista;0
   Belo Horizonte; Vitoria da Conquista;0
   Bertopolis; Vitoria da Conquista;0
   Cachoeira da Prata; Vitoria da Conquista;0
   Caete; Vitoria da Conquista;0
   Carangola; Vitoria da Conquista;0
   Caratinga; Vitoria da Conquista;0
   Conceiçao Capim; Vitoria da Conquista;0
   Conselheiro Pena; Vitoria da Conquista;0
   Governador Valadares; Vitoria da Conquista;0
   Iapu; Vitoria da Conquista;0
   Ipatinga; Vitoria da Conquista;0
   Itabira; Vitoria da Conquista;0
   Itabirim de Mantena; Vitoria da Conquista;0
   Itanhomi; Vitoria da Conquista;0
   Itauna; Vitoria da Conquista;0
   Januaria; Vitoria da Conquista;0
   Joao Monlevade; Vitoria da Conquista;0
   Juaima; Vitoria da Conquista;0
   Ladainha; Vitoria da Conquista;0
