Orig;dest;flow
 Acopiara;  Santa Luzia do norte;0
 Goiania;  Santa Luzia do norte;0
 Araujos;  Santa Luzia do norte;0
 Imperatriz;  Santa Luzia do norte;0
 Sao Luis;  Santa Luzia do norte;0
   Aimorés;  Santa Luzia do norte;0
   Belo Horizonte;  Santa Luzia do norte;0
   Bertopolis;  Santa Luzia do norte;0
   Cachoeira da Prata;  Santa Luzia do norte;0
   Caete;  Santa Luzia do norte;0
   Carangola;  Santa Luzia do norte;0
   Caratinga;  Santa Luzia do norte;0
   Conceiçao Capim;  Santa Luzia do norte;0
   Conselheiro Pena;  Santa Luzia do norte;0
   Governador Valadares;  Santa Luzia do norte;0
   Iapu;  Santa Luzia do norte;0
   Ipatinga;  Santa Luzia do norte;0
   Itabira;  Santa Luzia do norte;0
   Itabirim de Mantena;  Santa Luzia do norte;0
   Itanhomi;  Santa Luzia do norte;0
   Itauna;  Santa Luzia do norte;0
   Januaria;  Santa Luzia do norte;0
   Joao Monlevade;  Santa Luzia do norte;0
   Juaima;  Santa Luzia do norte;0
   Ladainha;  Santa Luzia do norte;0
   Lajinhas;  Santa Luzia do norte;0
   Mantena;  Santa Luzia do norte;0
   Mantenopolis;  Santa Luzia do norte;0
   Matipo;  Santa Luzia do norte;0
   Miradouro;  Santa Luzia do norte;0
   Mirai;  Santa Luzia do norte;0
   Mutum;  Santa Luzia do norte;0
   Nanuque;  Santa Luzia do norte;0
   Nova Era;  Santa Luzia do norte;0
   Nova Lima;  Santa Luzia do norte;0
   Ouro Branco;  Santa Luzia do norte;0
   Pocrane;  Santa Luzia do norte;0
   Resplendor;  Santa Luzia do norte;0
   Rio Casca;  Santa Luzia do norte;0
   Salto da Divisa;  Santa Luzia do norte;0
   Santa Luzia;  Santa Luzia do norte;0
   Santo Antonio de Pádua;  Santa Luzia do norte;0
   Sao Manoel de Mutu;  Santa Luzia do norte;0
   Teofilo Otoni;  Santa Luzia do norte;0
   Timoteo;  Santa Luzia do norte;0
   Ubaitaba;  Santa Luzia do norte;0
   Valadares;  Santa Luzia do norte;0
   Varginha;  Santa Luzia do norte;0
  Paraiba;  Santa Luzia do norte;0
  Jatoba;  Santa Luzia do norte;0
  Recife;  Santa Luzia do norte;0
  Parnaíba;  Santa Luzia do norte;0
  Campos Dos Goytacazes;  Santa Luzia do norte;0
  Casemiro De Abreu;  Santa Luzia do norte;0
  Mage;  Santa Luzia do norte;0
  Miguel Pereira;  Santa Luzia do norte;0
  Nova Iguaçu;  Santa Luzia do norte;0
  Parati;  Santa Luzia do norte;0
  Penha;  Santa Luzia do norte;0
  Rio de Janeiro;  Santa Luzia do norte;0
  Volta Redonda;  Santa Luzia do norte;0
  Natal;  Santa Luzia do norte;0
  Cachoeiro do Sul;  Santa Luzia do norte;0
  Guaibes;  Santa Luzia do norte;0
  Santa Barbara do Oeste;  Santa Luzia do norte;0
  Santo Andre;  Santa Luzia do norte;0
  Sao Paulo;  Santa Luzia do norte;0
 Cajueiro;  Santa Luzia do norte;0
 Itapebi;  Santa Luzia do norte;0
  Afonso Claudio;  Santa Luzia do norte;0
  Aguia Branca;  Santa Luzia do norte;0
  Apiaca;  Santa Luzia do norte;0
  Aracruz;  Santa Luzia do norte;0
  Baixo Guandu;  Santa Luzia do norte;0
  Barra de São Francisco;  Santa Luzia do norte;0
  Cachoeiro de Itapemirim;  Santa Luzia do norte;0
  Castelo;  Santa Luzia do norte;0
  Colatina;  Santa Luzia do norte;0
  Conceicao da Barra;  Santa Luzia do norte;0
  Conselheiro Pena;  Santa Luzia do norte;0
  Domingos Martins;  Santa Luzia do norte;0
  Ecoporanga;  Santa Luzia do norte;0
  Governador Lindemberg;  Santa Luzia do norte;0
  Ibatiba;  Santa Luzia do norte;0
  Ibiraçu;  Santa Luzia do norte;0
  Itaguacu;  Santa Luzia do norte;0
  Itaunas;  Santa Luzia do norte;0
  Jerônimo Monteiro;  Santa Luzia do norte;0
  Joao Neiva;  Santa Luzia do norte;0
  Laranja da Terra;  Santa Luzia do norte;0
  Linhares;  Santa Luzia do norte;0
  Marataizes;  Santa Luzia do norte;0
  Montanha;  Santa Luzia do norte;0
  Muniz Freire;  Santa Luzia do norte;0
  Nova Venécia;  Santa Luzia do norte;0
  Pancas;  Santa Luzia do norte;0
  Pinheiros;  Santa Luzia do norte;0
  Presidente Kennedy;  Santa Luzia do norte;0
  Santa Leopoldina;  Santa Luzia do norte;0
  Santa Teresa;  Santa Luzia do norte;0
  Sao Gabriel da Palha;  Santa Luzia do norte;0
  Sao Mateus;  Santa Luzia do norte;0
  Vila Pavao;  Santa Luzia do norte;0
RMGV - Cariacica;  Santa Luzia do norte;0
RMGV - Fundao;  Santa Luzia do norte;0
RMGV - Serra;  Santa Luzia do norte;0
RMGV - Viana;  Santa Luzia do norte;0
RMGV - Vila Velha;  Santa Luzia do norte;0
RMGV - Vitoria;  Santa Luzia do norte;0
RMGV; Almadino;0
desconhecido - BA; Almadino;0
desconhecido - CE; Almadino;0
desconhecido - MA; Almadino;0
desconhecido - MG; Almadino;0
desconhecido - PE; Almadino;0
desconhecido - PI; Almadino;0
desconhecido - PR; Almadino;0
  Santa Luzia do norte; Almadino;0
 Almadino; Almadino;0
 Aurelino Leal; Almadino;0
 Camacan; Almadino;0
 Canavieiras; Almadino;0
 Caravelas; Almadino;0
 Carlos Chagas; Almadino;0
 Eunapolis; Almadino;0
 Guaratinga; Almadino;0
 Ibicarai; Almadino;0
 Ilheus; Almadino;0
 Itabuna; Almadino;0
 Itajuipe; Almadino;0
 Itamaraju; Almadino;0
 Itanhem; Almadino;0
 Itapemirim; Almadino;0
 Itubera; Almadino;0
 Medeiros Neto; Almadino;0
 Mucuri; Almadino;0
 Nova Itarana; Almadino;0
 Nova Viçosa; Almadino;0
 Oruçu; Almadino;0
 Paulo Afonso; Almadino;0
 Porto Seguro; Almadino;0
 Potiragua; Almadino;0
 Prado; Almadino;0
 Salvador; Almadino;0
 Teixeira de Freitas; Almadino;0
 Una; Almadino;0
 Uruçuba; Almadino;0
 Valencia; Almadino;0
