name;region;estate;order;colour;gap
 Pancas;SUDESTE;ES;135;;2
 Pinheiros;SUDESTE;ES;136;;2
 Presidente Kennedy;SUDESTE;ES;137;;2
 Santa Leopoldina;SUDESTE;ES;138;;2
 Santa Teresa;SUDESTE;ES;139;;2
 Sao Gabriel da Palha;SUDESTE;ES;140;;2
 Sao Mateus;SUDESTE;ES;141;;2
 Vila Pavao;SUDESTE;ES;142;;2
RMGV - Cariacica;SUDESTE;ES;143;;3
RMGV - Fundao;SUDESTE;ES;144;;3
RMGV - Serra;SUDESTE;ES;145;;3
RMGV - Viana;SUDESTE;ES;146;;3
RMGV - Vila Velha;SUDESTE;ES;147;;3
RMGV - Vitoria;SUDESTE;ES;148;;3
